CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Cluster
1.51340206185567,0.4,204.1752577319588,104.91752577319588,7.4,45.7,0.4714,0
1.5175257731958762,0.4,204.69072164948452,104.96907216494846,6.9,49.3,0.4913,0
1.5216494845360824,0.6,205.20618556701032,105.02061855670104,7.8,48.1,0.5095,0
1.5257731958762886,1.1,205.72164948453607,105.0721649484536,8.1,47.8,0.5157,0
1.5298969072164947,1.6,206.23711340206185,105.1237113402062,8.5,46.7,0.5191,0
1.5340206185567011,3.1,206.75257731958763,105.17525773195877,8.9,44.1,0.5039,0
1.5381443298969073,5.6,207.26804123711335,105.22680412371136,9.4,42.5,0.5038,0
1.5422680412371137,4.5,207.7835051546392,105.27835051546391,10.8,36.3,0.4712,0
1.5463917525773196,3.8,208.2989690721649,105.3298969072165,11.9,30.6,0.4264,0
1.5505154639175258,6.2,208.81443298969072,105.38144329896907,12.2,29.7,0.4205,0
1.554639175257732,5.6,209.3298969072165,105.43298969072166,12.0,31.1,0.434,0
1.5587628865979382,4.1,209.84536082474227,105.48453608247422,12.7,28.4,0.416,0
1.5628865979381443,5.6,210.36082474226805,105.5360824742268,13.3,27.5,0.4185,0
1.5670103092783505,7.6,210.8762886597938,105.58762886597938,11.4,30.8,0.4148,0
1.571134020618557,6.1,211.3917525773196,105.63917525773196,9.8,34.0,0.4112,0
1.575257731958763,5.3,211.90721649484536,105.69072164948452,9.3,33.6,0.3958,0
1.5793814432989692,5.3,212.42268041237116,105.74226804123712,9.6,32.3,0.3871,0
1.5835051546391754,5.5,212.9381443298969,105.79381443298968,9.1,32.5,0.3766,0
1.5876288659793816,5.6,213.45360824742264,105.84536082474229,9.1,37.2,0.431,0
1.5917525773195875,4.6,213.96907216494844,105.89690721649484,7.8,38.4,0.4085,0
1.595876288659794,4.2,214.48453608247425,105.94845360824742,8.2,40.1,0.4375,0
1.6,8.8,215.0,106.0,5.3,50.7,0.4564,0
2.5,7.5,300.0,129.0,5.9,50.0,0.4689,0
2.7,7.6,276.5,127.5,4.9,53.9,0.4693,0
1.9,5.6,253.0,126.0,4.3,55.3,0.465,0
1.4,4.8,181.0,106.0,4.2,57.1,0.4759,0
1.5,5.3,171.0,99.0,3.5,58.3,0.4636,0
1.4,4.5,168.0,97.0,3.0,60.7,0.4667,0
1.1,3.0,169.0,94.0,2.6,63.2,0.4721,0
1.0,3.0,145.0,86.0,3.9,59.0,0.4807,0
1.2,4.7,190.0,97.0,4.7,57.2,0.4932,0
1.7,5.4,225.0,113.0,6.8,48.6,0.4822,0
2.3,7.4,261.0,125.0,8.6,43.6,0.4887,0
2.2,8.4,382.0,147.0,9.5,41.2,0.4908,1
2.4,8.9,357.0,153.0,10.9,35.9,0.468,1
2.2,7.9,299.0,147.0,12.5,32.3,0.467,0
2.1,7.7,313.0,139.0,12.8,32.6,0.4814,0
3.0,12.1,510.0,165.0,10.9,39.7,0.5166,1
4.7,16.6,832.0,191.0,9.0,51.8,0.5961,1
3.6,11.4,622.0,172.0,8.1,54.1,0.5882,1
2.5,7.9,402.0,151.0,7.8,54.6,0.5786,1
2.3,8.1,334.0,137.0,6.2,59.6,0.5698,0
2.1,6.4,295.0,130.0,5.7,59.9,0.5523,0
1.7,5.2,222.0,115.0,5.6,59.7,0.5463,0
1.8,5.2,230.0,112.0,4.7,62.9,0.5424,0
1.6,4.3,195.0,105.0,4.5,63.5,0.5411,0
1.3,3.6,167.0,96.0,4.5,63.6,0.5414,0
1.3,4.5,157.5,91.5,3.1,70.0,0.5388,0
1.3,3.3,148.0,87.0,3.2,68.3,0.531,0
1.1,2.7,123.0,75.0,3.1,69.2,0.5337,0
1.0,2.4,148.0,82.0,2.4,71.9,0.5288,0
1.0,2.6,143.0,83.0,3.1,68.7,0.5317,0
1.2,3.4,180.0,88.0,2.1,73.1,0.5289,0
1.3,3.9,226.0,106.0,3.3,68.2,0.5346,0
1.6,4.9,254.0,112.0,4.1,65.8,0.5451,0
2.2,7.5,372.0,141.0,6.6,56.6,0.5528,0
2.2,7.1,379.0,148.0,8.0,51.2,0.5516,1
2.8,9.6,478.0,171.0,10.3,44.9,0.5612,1
2.1,6.5,344.0,160.0,12.3,41.7,0.5961,0
1.6,5.5,258.0,137.0,13.5,41.3,0.6342,0
2.8,10.5,474.0,167.0,13.4,43.1,0.66,1
2.6,8.9,438.0,164.0,9.9,53.3,0.6504,1
2.8,8.8,451.0,166.0,8.9,54.6,0.6226,1
2.9,10.5,473.0,167.0,8.9,54.8,0.6244,1
3.4,13.0,560.0,174.0,8.3,58.2,0.6391,1
2.9,12.860377358490569,470.0,160.0,8.322641509433963,58.41320754716981,0.6426283018867924,1
3.2,12.720754716981132,506.0,169.0,8.345283018867924,58.62641509433963,0.6461566037735849,1
3.1,12.581132075471698,482.0,162.0,8.367924528301888,58.83962264150944,0.6496849056603774,1
3.0,12.441509433962263,436.0,149.0,8.39056603773585,59.052830188679245,0.6532132075471698,1
3.4,12.30188679245283,472.0,158.0,8.413207547169812,59.26603773584906,0.6567415094339623,1
3.0,12.162264150943397,379.0,143.0,8.435849056603773,59.47924528301887,0.6602698113207547,1
2.7,12.022641509433962,332.5,132.0,8.458490566037737,59.692452830188685,0.6637981132075471,1
1.9,11.883018867924529,286.0,121.0,8.481132075471699,59.905660377358494,0.6673264150943397,0
1.1,11.743396226415094,155.0,92.0,8.50377358490566,60.1188679245283,0.6708547169811321,0
1.4,11.60377358490566,264.0,102.0,8.526415094339622,60.33207547169812,0.6743830188679245,0
1.8,11.464150943396229,366.0,121.0,8.549056603773586,60.54528301886793,0.6779113207547169,0
3.6,11.324528301886792,622.0,164.0,8.571698113207548,60.758490566037736,0.6814396226415094,1
3.1,11.18490566037736,551.0,175.0,8.59433962264151,60.97169811320755,0.6849679245283019,1
1.9,11.045283018867924,349.0,130.0,8.616981132075471,61.18490566037736,0.6884962264150943,0
1.7,10.90566037735849,285.0,117.0,8.639622641509435,61.39811320754717,0.6920245283018868,0
1.7,10.766037735849055,265.0,115.0,8.662264150943397,61.611320754716985,0.6955528301886792,0
1.6,10.626415094339622,222.0,106.0,8.684905660377359,61.8245283018868,0.6990811320754717,0
1.6,10.486792452830189,237.0,102.0,8.70754716981132,62.0377358490566,0.7026094339622642,0
1.7,10.347169811320754,294.0,122.0,8.730188679245284,62.25094339622642,0.7061377358490566,0
2.2,10.20754716981132,329.0,138.0,8.752830188679246,62.46415094339623,0.709666037735849,1
3.3,10.067924528301887,487.0,162.0,8.775471698113208,62.67735849056604,0.7131943396226414,1
3.9,9.928301886792454,604.0,177.0,8.79811320754717,62.89056603773585,0.7167226415094339,1
5.0,9.78867924528302,728.0,190.0,8.820754716981133,63.10377358490566,0.7202509433962264,1
4.2,9.649056603773584,653.0,182.0,8.843396226415095,63.31698113207548,0.7237792452830188,1
3.2,9.50943396226415,509.0,163.0,8.866037735849057,63.530188679245285,0.7273075471698113,1
1.7,9.369811320754716,277.0,135.0,8.888679245283019,63.74339622641509,0.7308358490566037,0
1.5,9.230188679245284,268.0,130.0,8.911320754716982,63.95660377358491,0.7343641509433962,0
1.3,9.090566037735847,193.0,117.0,8.933962264150944,64.16981132075472,0.7378924528301887,0
1.2,8.950943396226414,167.0,104.0,8.956603773584906,64.38301886792453,0.7414207547169811,0
1.3,8.81132075471698,159.0,97.0,8.979245283018868,64.59622641509434,0.7449490566037735,0
0.8,8.671698113207547,124.0,84.5,9.001886792452831,64.80943396226415,0.748477358490566,0
0.6,8.532075471698114,89.0,72.0,9.024528301886791,65.02264150943397,0.7520056603773585,0
0.8,8.39245283018868,97.0,71.0,9.047169811320757,65.23584905660377,0.7555339622641509,0
0.9,8.252830188679244,182.0,94.0,9.069811320754717,65.44905660377358,0.7590622641509434,0
1.1,8.11320754716981,262.0,118.0,9.09245283018868,65.6622641509434,0.7625905660377358,0
3.4,7.973584905660378,561.0,174.0,9.115094339622642,65.87547169811322,0.7661188679245283,1
3.6,7.833962264150943,540.0,170.0,9.137735849056604,66.08867924528302,0.7696471698113208,1
3.1,7.694339622641509,480.0,171.0,9.160377358490566,66.30188679245283,0.7731754716981132,1
3.3,7.554716981132076,608.0,196.0,9.18301886792453,66.51509433962264,0.7767037735849056,1
3.4,7.415094339622642,584.0,191.0,9.205660377358493,66.72830188679245,0.780232075471698,1
2.8,7.275471698113208,426.0,165.0,9.228301886792451,66.94150943396227,0.7837603773584905,1
2.6,7.1358490566037736,397.0,148.0,9.250943396226416,67.15471698113208,0.787288679245283,1
3.0,6.996226415094339,473.0,172.0,9.273584905660378,67.36792452830188,0.7908169811320754,1
2.9,6.856603773584906,369.0,165.0,9.29622641509434,67.5811320754717,0.7943452830188679,1
3.8,6.716981132075472,532.0,184.0,9.318867924528302,67.79433962264152,0.7978735849056603,1
3.8,6.577358490566038,498.0,173.0,9.341509433962264,68.00754716981132,0.8014018867924528,1
3.6,6.437735849056604,487.0,174.0,9.364150943396227,68.22075471698113,0.8049301886792453,1
4.5,6.2981132075471695,629.0,181.0,9.38679245283019,68.43396226415095,0.8084584905660377,1
3.7,6.158490566037736,502.0,166.0,9.409433962264153,68.64716981132075,0.8119867924528301,1
2.4,6.018867924528302,381.0,150.0,9.432075471698113,68.86037735849057,0.8155150943396225,1
1.7,5.879245283018868,250.0,131.0,9.454716981132076,69.07358490566038,0.819043396226415,0
1.7,5.739622641509434,266.0,129.0,9.477358490566038,69.28679245283018,0.8225716981132075,0
1.7,5.6,226.0,120.0,9.5,69.5,0.8261,0
1.9,8.1,259.0,119.0,9.1,70.9,0.8176,0
2.0,8.5,259.5,115.0,8.1,72.1,0.7798,0
2.0,7.7,260.0,111.0,7.9,72.1,0.7679,0
1.7,6.8,242.0,109.0,7.6,72.7,0.7598,0
1.8,8.1,267.0,110.0,7.5,71.7,0.7439,0
2.2,11.1,411.0,126.0,7.9,70.6,0.7562,1
3.7,16.4,670.0,148.0,8.6,69.0,0.7732,1
4.8,21.6,830.0,162.0,9.1,67.5,0.7831,1
4.8,19.3,845.0,173.0,9.8,65.8,0.7967,1
5.2,22.9,992.0,198.0,11.2,61.9,0.8226,1
5.9,25.3,1130.0,219.0,12.8,60.1,0.882,1
5.9,25.2,977.0,206.0,13.4,62.4,0.9513,1
3.1,13.2,459.0,155.0,14.3,61.2,0.9941,1
2.6,13.9,346.0,150.0,14.6,59.6,0.9824,1
2.8,13.8,383.0,148.0,14.2,60.0,0.9684,1
2.8,13.5,414.0,158.0,13.8,62.6,0.9862,1
2.8,13.5,370.0,152.0,13.6,64.0,0.9891,1
3.1,15.0,400.0,148.0,13.4,64.5,0.9865,1
3.3,14.9,378.0,147.0,13.5,64.7,0.9971,1
2.7,11.9,357.0,144.0,13.4,65.3,0.9967,1
2.3,9.2,333.0,144.0,13.2,64.5,0.9732,1
1.6,6.0,227.0,126.0,13.2,62.3,0.9392,0
1.6,5.6,203.0,115.0,12.5,63.7,0.9196,0
1.7,5.4,210.0,116.0,12.3,64.6,0.9229,0
1.6,5.4,198.0,112.0,12.5,63.8,0.9244,0
1.4,3.5,143.5,89.5,12.6,62.7,0.9121,0
1.15,2.5,89.0,67.0,12.0,64.6,0.906,0
0.9,3.4,89.0,67.0,10.7,69.5,0.8919,0
0.8,1.8,101.0,72.0,12.4,62.6,0.8994,0
0.7,2.6,104.0,69.0,12.3,62.7,0.8947,0
1.1,4.0,192.0,107.0,11.4,66.6,0.8948,0
1.5,6.2,237.0,117.0,11.1,70.2,0.9276,0
1.5,5.8,211.0,115.0,13.4,61.0,0.9348,0
1.6,6.3,230.0,120.0,15.9,52.2,0.9377,0
1.6,5.9,240.0,128.0,15.6,54.0,0.9515,0
2.0,8.5,295.0,138.0,16.3,51.5,0.9462,0
1.7,6.2,243.0,127.0,16.5,50.8,0.9442,0
1.5,6.4,196.0,111.0,16.3,51.9,0.9535,0
2.0,7.9,237.0,122.0,16.2,53.0,0.9687,0
1.9,7.7,274.0,134.0,15.6,54.8,0.966,0
2.1,8.9,352.0,153.0,14.5,57.5,0.944,1
2.8,12.4,488.0,169.0,14.0,60.1,0.9566,1
2.7,11.3,426.0,162.0,13.5,63.0,0.9686,1
2.4,8.4,376.0,152.0,12.6,65.4,0.9529,1
1.6,7.3,237.0,127.0,12.0,67.5,0.9413,0
1.7,5.9,199.0,112.0,10.5,72.0,0.912,0
1.3,4.3,164.0,98.0,10.0,70.9,0.8706,0
1.4,3.6,142.0,89.0,9.8,70.7,0.8571,0
1.2,3.1,142.0,82.0,8.0,75.0,0.8098,0
1.0,2.5,134.5,79.5,7.9,75.1,0.805,0
1.0,2.5,127.0,77.0,7.0,77.3,0.7782,0
0.6,1.4,73.0,55.0,7.2,74.4,0.7581,0
0.7,1.8,100.0,63.0,6.7,75.0,0.7418,0
1.0,3.1,126.0,69.0,6.4,76.3,0.7389,0
1.7,7.6,284.0,99.0,6.0,78.5,0.7377,0
3.0,15.3,419.0,125.0,6.3,77.4,0.7452,1
2.4,9.3,432.0,123.0,7.7,73.8,0.7769,1
2.2,11.0,310.0,128.0,10.2,61.5,0.7638,0
2.6,10.6,446.0,149.0,11.3,58.1,0.7743,1
2.5,11.4,464.0,137.0,10.6,62.3,0.7981,1
3.0,13.1,505.0,147.0,11.1,62.0,0.8199,1
3.3,14.8,564.0,168.0,12.6,57.7,0.8387,1
3.8,16.5,625.0,180.0,13.3,56.2,0.8548,1
3.6,16.5,590.0,170.0,11.2,65.3,0.8639,1
5.0,21.5,712.0,180.0,8.8,74.6,0.8434,1
5.7,22.2,723.0,178.0,7.2,78.5,0.803,1
5.0,20.5,707.0,159.0,6.5,80.0,0.7789,1
4.8,17.7,737.0,156.0,5.8,83.8,0.7768,1
3.9,15.4,646.0,146.0,5.5,83.5,0.7619,1
3.3,11.6,536.0,132.0,5.8,81.3,0.7568,1
3.4,13.0,567.0,137.0,5.4,82.6,0.7495,1
2.4,6.7,357.0,114.0,6.4,76.3,0.7369,0
1.4,4.6,187.0,95.0,7.0,73.6,0.7417,0
1.4,3.8,178.0,91.5,7.2,72.3,0.7392,0
1.2,3.4,169.0,88.0,7.9,69.3,0.7413,0
1.2,3.4,184.0,94.0,7.4,71.7,0.7434,0
1.2,3.6,205.0,97.0,7.7,71.9,0.7575,0
1.3,4.5,213.0,93.0,8.1,68.0,0.7396,0
2.3,10.0,415.0,113.0,6.7,77.1,0.7597,1
3.4,14.7,583.0,126.0,6.8,77.9,0.7756,1
3.0,11.3,462.0,133.0,8.9,66.7,0.7634,1
2.5,10.4,387.0,141.0,11.6,54.1,0.7387,1
2.7,11.2,414.0,139.0,13.5,49.4,0.7598,1
2.8,13.1,440.0,147.0,13.8,50.9,0.796,1
3.6,14.3,516.0,175.0,13.4,55.9,0.8588,1
3.1,12.8,495.0,180.0,12.9,59.0,0.8736,1
4.3,18.9,643.0,194.0,13.3,59.0,0.8945,1
4.6,17.9,725.0,192.0,13.0,61.9,0.9224,1
4.3,16.5,683.0,188.0,12.5,63.6,0.9193,1
4.3,16.9,681.0,179.0,12.2,65.8,0.931,1
5.5,22.4,833.0,196.0,12.6,65.2,0.9474,1
3.4,13.6,514.0,169.0,13.3,63.6,0.9681,1
2.4,9.1,371.0,151.0,13.5,62.6,0.9644,1
1.6,6.0,213.0,123.0,14.1,59.6,0.9563,0
1.7,6.3,242.0,127.0,14.0,61.4,0.9773,0
1.6,5.5,241.0,127.0,13.5,63.4,0.9755,0
1.3,5.6,218.0,118.0,13.2,64.2,0.9706,0
0.8,3.4,144.0,86.5,13.6,62.2,0.9643,0
0.7,2.3,70.0,55.0,13.7,61.1,0.9537,0
0.6,1.8,54.0,44.0,13.5,63.8,0.9801,0
0.6,1.6,60.0,46.0,12.5,67.3,0.9743,0
0.5,1.6,55.0,46.0,13.2,64.2,0.9664,0
0.6,2.0,93.0,61.0,13.1,63.4,0.9535,0
0.7,1.9,81.0,60.0,13.8,60.5,0.9526,0
0.9,3.5,109.0,71.0,13.7,60.4,0.939,0
1.5,5.7,251.0,111.0,14.0,59.7,0.9495,0
1.9,8.1,284.0,127.0,15.0,56.2,0.9539,0
1.9,8.1,262.0,128.0,16.9,50.9,0.9714,0
2.2,12.6,256.0,142.0,16.6,52.4,0.981,0
3.8,18.1,310.0,145.0,16.4,53.2,0.9826,1
2.0,8.7,269.0,145.0,16.1,52.8,0.9579,0
2.2,8.8,348.0,156.0,15.7,54.4,0.9616,1
3.3,14.1,396.0,154.0,15.4,55.3,0.9616,1
2.7,9.3,432.0,165.0,15.2,54.7,0.9362,1
2.6,11.6,419.0,153.0,14.7,56.6,0.9392,1
2.5,9.6,412.0,151.0,14.4,58.2,0.9495,1
1.5,5.8,223.0,131.0,14.3,59.2,0.9608,0
1.9,7.5,242.0,128.0,14.0,60.4,0.9622,0
2.0,7.4,288.0,137.0,13.7,63.6,0.9912,0
1.7,7.4,209.0,119.0,13.1,68.7,1.0329,0
1.2,3.9,141.0,96.0,13.2,69.9,1.0526,0
0.9,2.1,103.5,78.0,12.8,71.2,1.0454,0
0.6,1.3,66.0,60.0,12.9,70.4,1.0444,0
0.5333333333333333,1.8,64.0,54.0,12.4,72.5,1.0411,0
0.4666666666666667,3.0,105.0,66.0,13.0,70.3,1.0502,0
0.4,6.7,303.0,104.0,12.3,73.3,1.0448,0
2.6,21.0,620.0,137.0,12.8,71.8,1.0551,1
3.5,21.4,590.0,146.0,13.1,70.2,1.0567,1
2.1,16.1,592.0,136.0,12.8,71.8,1.0551,1
2.1,16.4,698.0,144.0,13.1,70.3,1.0566,1
1.7,14.8,482.0,133.0,13.7,67.0,1.0446,1
2.6,20.1,575.0,148.0,14.0,65.4,1.0427,1
2.6,19.3,548.0,155.0,14.4,63.8,1.0421,1
2.4,19.3,498.0,152.0,14.1,65.9,1.0531,1
2.4,17.4,479.0,145.0,14.1,65.9,1.0552,1
2.0,17.0,420.0,139.0,14.1,66.0,1.0539,1
2.0,17.1,378.0,134.0,14.0,66.4,1.0536,1
3.1,16.4,340.0,128.0,13.8,66.4,1.0451,1
3.3,17.3,399.0,135.0,13.4,68.1,1.0441,1
3.3,14.6,449.0,136.0,13.2,69.1,1.0452,1
2.6,11.9,374.0,126.0,13.0,70.0,1.042,1
1.7,7.3,244.0,116.0,12.7,69.9,1.0223,0
1.8,7.7,256.0,116.0,12.0,71.9,1.0071,0
1.5,4.9,212.0,107.0,13.2,66.8,1.0087,0
1.1,3.9,146.0,91.0,12.4,69.5,0.9986,0
0.9,2.1,121.0,80.5,13.1,65.7,0.9858,0
0.7,2.9,96.0,70.0,11.8,70.6,0.9731,0
0.7,2.6,106.0,78.0,12.3,68.0,0.9734,0
0.9,3.3,115.0,75.0,12.0,69.2,0.9697,0
1.3,5.2,236.0,101.0,11.7,69.8,0.9612,0
3.2,19.0,583.0,136.0,12.1,67.6,0.95,1
5.1,26.5,662.0,147.0,12.5,65.1,0.9399,1
3.7,15.3,528.0,143.0,12.8,62.5,0.9213,1
3.2,15.6,549.0,153.0,13.4,59.9,0.9143,1
3.1,16.4,531.0,148.0,13.4,57.9,0.8895,1
3.0,16.1,493.0,149.0,13.6,56.4,0.8754,1
3.6,18.8,527.0,141.0,13.8,56.3,0.8841,1
3.2,18.0,487.0,147.0,13.7,57.9,0.9063,1
3.9,20.1,581.0,159.0,13.6,58.9,0.9139,1
3.4,17.6,531.0,152.0,13.4,59.7,0.9142,1
3.9,19.3,495.0,144.0,13.3,61.2,0.933,1
3.6,19.7,487.0,146.0,13.2,61.8,0.9313,1
4.7,24.5,596.0,162.0,12.9,61.5,0.9139,1
4.1,18.4,595.0,156.0,12.6,63.9,0.9307,1
3.4,16.6,559.0,146.0,12.0,67.4,0.9417,1
3.5,16.2,586.0,151.0,11.9,69.0,0.9568,1
1.2,9.6,399.0,127.0,12.0,66.6,0.9293,0
2.4,11.4,399.0,123.0,11.4,69.6,0.9373,1
2.1,9.1,381.0,122.0,11.2,70.3,0.9323,0
1.1,4.3,271.5,103.5,11.5,68.2,0.9271,0
1.05,4.2,162.0,85.0,10.7,71.3,0.9161,0
1.0,4.7,183.0,83.0,10.0,74.8,0.9161,0
1.4,7.3,357.0,98.0,9.2,78.5,0.9143,0
1.8,9.3,479.0,109.0,8.8,79.4,0.9033,0
3.8,17.8,852.0,138.0,8.7,79.4,0.8944,1
4.1,20.1,822.0,138.0,8.9,76.5,0.8767,1
4.4,19.6,910.0,170.0,9.9,73.3,0.8936,1
3.5,16.5,800.0,191.0,11.8,65.5,0.901,1
3.5,17.3,758.0,196.0,13.0,60.9,0.9061,1
3.8,17.7,647.0,185.0,14.7,52.3,0.8687,1
3.1,15.2,431.0,156.0,15.1,49.6,0.8428,1
3.4,18.2,491.0,173.0,15.7,48.8,0.8657,1
3.3,17.2,476.0,166.0,15.8,48.9,0.8707,1
3.4,17.6,538.0,173.0,14.6,54.0,0.8946,1
4.7,25.4,621.0,177.0,14.3,56.3,0.9119,1
5.7,28.4,728.0,182.0,14.1,57.8,0.9262,1
5.6,27.5,716.0,166.0,13.1,62.9,0.943,1
5.9,23.3,782.0,177.0,12.0,67.5,0.9467,1
3.6,15.2,550.0,158.0,10.7,70.9,0.9113,1
2.5,11.1,377.0,133.0,10.0,73.2,0.8988,1
2.9,11.5,391.0,123.0,9.4,75.0,0.8874,1
2.5,10.2,433.0,120.0,8.5,76.9,0.8557,1
1.7,6.0,287.0,105.0,8.4,75.9,0.8407,0
1.6,6.3,239.5,95.5,6.9,80.7,0.8054,0
1.1,3.7,192.0,86.0,6.2,82.1,0.7825,0
0.9,3.2,161.0,77.0,7.0,77.3,0.7759,0
1.0,3.7,194.0,81.0,6.5,79.7,0.7751,0
1.6,8.0,343.0,103.0,7.7,76.8,0.8112,0
3.1,16.3,624.0,127.0,8.2,74.9,0.8184,1
4.1,24.0,758.0,134.0,8.8,73.2,0.8298,1
3.9,15.7,760.0,158.0,9.7,70.1,0.8432,1
3.6,16.5,713.0,175.0,11.7,62.7,0.8586,1
3.2,12.8,615.0,178.0,13.1,58.5,0.877,1
2.2,11.3,319.0,135.0,14.2,54.1,0.8707,0
2.4,12.9,338.0,133.0,14.2,54.3,0.8757,1
2.7,14.1,380.0,134.0,14.0,56.3,0.894,1
2.7,15.8,366.0,137.0,13.5,57.8,0.8933,1
3.9,19.9,567.0,160.0,12.3,63.0,0.9015,1
5.2,26.6,702.0,166.0,11.4,68.0,0.9166,1
4.0,19.8,523.0,144.0,10.8,69.5,0.8995,1
2.9,13.3,373.0,129.0,11.0,67.1,0.8766,1
3.3,13.0,467.0,129.0,9.5,71.3,0.8458,1
2.0,7.5,260.0,107.0,8.8,71.0,0.8089,0
1.8,7.8,244.0,101.0,8.0,73.4,0.7899,0
2.7,8.8,317.0,112.0,7.6,73.0,0.7629,0
1.8,6.4,224.0,98.0,7.1,73.9,0.7515,0
1.3,4.5,176.0,90.0,7.1,73.5,0.7439,0
1.0,3.6,139.5,74.5,6.7,75.0,0.739,0
1.1,4.2,103.0,59.0,5.1,81.3,0.7204,0
1.6,6.9,367.0,98.0,4.3,82.9,0.6968,0
1.3,5.0,326.0,109.0,5.3,80.4,0.7234,0
1.4,7.3,374.0,110.0,5.7,79.3,0.7326,0
5.0,24.5,756.0,159.0,6.8,74.8,0.7423,1
4.3,16.9,690.0,144.0,6.9,75.2,0.7505,1
4.1,17.7,754.0,147.0,8.0,71.9,0.7712,1
3.8,17.1,750.0,179.0,9.3,67.1,0.7849,1
3.1,14.7,590.0,164.0,10.2,63.6,0.7928,1
3.3,17.4,525.0,160.0,11.0,60.9,0.7966,1
3.1,15.1,406.0,143.0,11.3,60.1,0.8022,1
2.7,14.5,360.0,138.0,12.2,56.9,0.8068,1
3.4,16.9,448.0,143.0,11.9,59.1,0.8211,1
5.0,24.3,733.0,196.0,10.3,66.3,0.8286,1
5.7,26.1,847.0,197.0,8.2,74.9,0.8187,1
5.8,26.4,765.0,189.0,7.9,77.1,0.8223,1
5.8,25.7,715.0,188.0,8.3,75.0,0.8253,1
5.0,18.2,716.0,190.0,8.2,75.2,0.8185,1
1.7,6.2,235.0,126.0,8.3,69.7,0.7632,0
1.6,6.7,198.0,113.0,6.7,74.4,0.7344,0
2.3,7.5,293.0,129.0,6.4,74.9,0.7238,0
2.4,7.5,356.0,128.0,4.9,80.1,0.7011,0
2.0,6.2,285.0,122.0,4.8,79.4,0.6872,0
1.6,5.1,275.5,118.5,3.3,82.6,0.645,0
1.35,4.8,266.0,115.0,2.4,86.6,0.6369,0
1.1,3.1,158.0,92.0,3.4,81.4,0.6425,0
1.0,2.8,95.0,70.0,4.2,77.0,0.6439,0
1.3,4.3,148.0,83.0,3.5,80.8,0.6406,0
1.9,9.7,337.0,127.0,3.5,80.3,0.6366,0
2.6,10.9,453.0,142.0,4.0,78.5,0.645,1
2.7,10.6,497.0,155.0,4.5,76.6,0.6534,1
2.4,10.0,448.0,153.0,5.6,72.3,0.6627,1
2.7,11.6,496.0,177.0,7.5,64.4,0.672,1
3.1,15.6,535.0,179.0,8.9,60.8,0.6921,1
4.4,18.1,644.0,212.0,10.6,55.3,0.7058,1
3.2,12.3,459.0,182.0,12.3,46.3,0.6597,1
2.9,11.4,409.0,168.0,12.2,47.0,0.6686,1
3.0,15.2,515.0,179.0,10.5,55.1,0.6993,1
3.7,17.4,640.0,182.0,8.7,66.3,0.7491,1
5.2,20.8,816.0,194.0,7.9,69.9,0.7487,1
3.3,12.8,505.0,166.0,7.6,65.3,0.6842,1
3.6,14.7,560.0,168.0,6.5,67.6,0.6608,1
2.3,8.3,389.0,148.0,5.9,66.4,0.6226,1
3.0,11.1,492.0,151.0,5.2,70.0,0.6232,1
3.8,13.6,531.0,165.0,5.2,67.8,0.6028,1
3.2,9.8,487.0,165.0,4.9,67.1,0.5863,1
2.1,7.6,293.0,128.0,5.1,65.5,0.5811,0
1.7,6.0,256.0,121.5,4.0,69.5,0.5706,0
1.7,5.9,219.0,115.0,3.7,68.9,0.5549,0
1.4,4.2,198.0,120.0,4.5,62.7,0.5343,0
1.2,4.5,166.0,106.0,4.7,62.3,0.5368,0
1.4,5.4,255.0,118.0,3.9,67.1,0.5483,0
1.4,4.8,312.0,156.0,5.7,54.5,0.5034,0
1.7,6.3,236.0,130.0,6.1,50.3,0.4769,0
1.0,2.6,172.0,112.0,9.0,39.5,0.4554,0
1.0,2.6,138.0,96.0,10.7,34.4,0.4406,0
0.8,2.2,121.0,89.0,11.1,33.4,0.4401,0
1.0,3.0,143.0,98.0,11.9,30.8,0.4285,0
0.8,1.9,114.0,85.0,11.4,32.0,0.431,0
0.7,2.0,107.0,80.0,11.3,32.5,0.4334,0
1.1,2.8,176.0,112.0,11.0,33.0,0.4331,0
1.1,3.3,180.0,121.0,10.3,35.0,0.4377,0
1.2,3.4,212.0,132.0,8.4,40.9,0.4542,0
2.0,7.1,331.0,160.0,8.3,38.5,0.4228,0
2.2,7.4,369.0,167.0,8.1,37.9,0.41,1
1.5,4.3,274.0,157.0,7.7,39.0,0.4106,0
1.2,3.9,199.0,130.0,7.0,41.5,0.4193,0
1.5,5.2,248.0,145.0,6.6,42.6,0.4179,0
1.4,3.8,197.0,133.0,6.4,44.2,0.428,0
1.2,3.5,147.0,110.0,6.0,46.0,0.4349,0
1.0,2.9,135.0,100.0,4.4,53.1,0.4484,0
0.6,1.4,115.0,89.5,4.0,54.3,0.4454,0
0.7,1.1,95.0,79.0,3.7,55.8,0.4489,0
0.5,1.0,94.0,79.0,2.6,58.6,0.4385,0
0.7,1.6,121.0,90.0,3.2,56.0,0.4364,0
1.0,3.2,131.0,95.0,3.6,55.4,0.4419,0
3.0,15.9,552.0,169.0,1.8,63.3,0.4464,1
4.1,18.0,614.0,199.0,2.4,60.2,0.4426,1
3.1,14.7,530.0,186.0,4.6,52.1,0.4472,1
